date,symbol,open,high,low,close,volume,asset_type,fetched_at
2001-08-16,^GSPC,1178.02001953125,1181.800048828125,1166.0799560546875,1181.6600341796875,1055400000,index,2026-04-10T11:50:30.871828
2001-08-17,^GSPC,1181.6600341796875,1181.6600341796875,1156.0699462890625,1161.969970703125,974300000,index,2026-04-10T11:50:30.871921
2001-08-20,^GSPC,1161.969970703125,1171.4100341796875,1160.93994140625,1171.4100341796875,897100000,index,2026-04-10T11:50:30.872011
2001-08-21,^GSPC,1171.4100341796875,1179.8499755859375,1156.56005859375,1157.260009765625,1041600000,index,2026-04-10T11:50:30.872102
2001-08-22,^GSPC,1157.260009765625,1168.56005859375,1153.3399658203125,1165.31005859375,1110800000,index,2026-04-10T11:50:30.872190
2001-08-23,^GSPC,1165.31005859375,1169.8599853515625,1160.9599609375,1162.0899658203125,986200000,index,2026-04-10T11:50:30.872281
2001-08-24,^GSPC,1162.0899658203125,1185.1500244140625,1162.0899658203125,1184.9300537109375,1043600000,index,2026-04-10T11:50:30.872370
2001-08-27,^GSPC,1184.9300537109375,1186.8499755859375,1178.0699462890625,1179.2099609375,842600000,index,2026-04-10T11:50:30.872459
2001-08-28,^GSPC,1179.2099609375,1179.6600341796875,1161.1700439453125,1161.510009765625,987100000,index,2026-04-10T11:50:30.872545
2001-08-29,^GSPC,1161.510009765625,1166.969970703125,1147.3800048828125,1148.56005859375,963700000,index,2026-04-10T11:50:30.872649
2001-08-30,^GSPC,1148.5999755859375,1151.75,1124.8699951171875,1129.030029296875,1157000000,index,2026-04-10T11:50:30.872740
2001-08-31,^GSPC,1129.030029296875,1141.8299560546875,1126.3800048828125,1133.5799560546875,920100000,index,2026-04-10T11:50:30.872827
2001-09-04,^GSPC,1133.5799560546875,1155.4000244140625,1129.06005859375,1132.93994140625,1178300000,index,2026-04-10T11:50:30.872913
2001-09-05,^GSPC,1132.93994140625,1135.52001953125,1114.8599853515625,1131.739990234375,1384500000,index,2026-04-10T11:50:30.872999
2001-09-06,^GSPC,1131.739990234375,1131.739990234375,1105.8299560546875,1106.4000244140625,1359700000,index,2026-04-10T11:50:30.873084
2001-09-07,^GSPC,1106.4000244140625,1106.4000244140625,1082.1199951171875,1085.780029296875,1424300000,index,2026-04-10T11:50:30.873169
2001-09-10,^GSPC,1085.780029296875,1096.93994140625,1073.1500244140625,1092.5400390625,1276600000,index,2026-04-10T11:50:30.873254
2001-09-17,^GSPC,1092.5400390625,1092.5400390625,1037.4599609375,1038.77001953125,2330830000,index,2026-04-10T11:50:30.873340
